Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Reliability
Explorer,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2016,3.5,111000,False,75000,Moderate
X,Riyadh,BMW,Automatic,Saudi,Full,2014,8.0,222000,True,0,Moderate
Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2017,3.5,179000,False,73000,Moderate
Land Cruiser,Al-Jouf,Toyota,Automatic,Saudi,Full,2014,4.6,182000,True,0,Moderate
Accent,Jeddah,Hyundai,Manual,Gulf Arabic,Standard,2011,1.5,230000,False,15000,Unreliable
Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,2.0,105000,False,76000,Moderate
Impala,Al-Ahsa,Chevrolet,Automatic,Other,Full,1964,1.2,100000,False,75000,Unreliable
CS35,Jazan,Changan,Automatic,Saudi,Full,2021,8.5,30000,True,0,Reliable
Charger,Riyadh,Dodge,Automatic,Other,Semi Full,2017,5.7,141000,False,108000,Moderate
EC8,Riyadh,Geely,Automatic,Saudi,Full,2012,2.3,200000,False,11500,Unreliable
A8,Jeddah,Audi,Automatic,Saudi,Full,2013,3.0,134000,False,85000,Unreliable
Yukon,Dammam,GMC,Automatic,Saudi,Full,2004,5.3,470000,False,33000,Unreliable
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,24000,False,140000,Moderate
Patrol,Jeddah,Nissan,Automatic,Saudi,Full,2020,4.0,29000,False,238000,Reliable
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2018,2.0,70000,False,57000,Moderate
3008,Riyadh,Peugeot,Automatic,Saudi,Full,2014,1.5,76335,False,30000,Moderate
Durango,Khobar,Dodge,Automatic,Saudi,Semi Full,2011,5.7,210000,True,0,Unreliable
Victoria,Dammam,Ford,Automatic,Saudi,Semi Full,2012,5.0,318000,False,35000,Unreliable
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2017,2.7,384000,False,66000,Moderate
Focus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,145000,False,14000,Unreliable
Sportage,Dammam,Kia,Automatic,Saudi,Standard,2021,1.6,4000,False,75000,Reliable
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,53000,False,79000,Moderate
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2017,5.3,118,True,0,Moderate
Silverado,Najran,Chevrolet,Automatic,Saudi,Standard,2010,3.5,303545,True,0,Unreliable
Cerato,Jeddah,Kia,Automatic,Other,Full,2016,2.0,89000,False,40000,Moderate
The 7,Dammam,BMW,Automatic,Gulf Arabic,Full,2020,2.0,4500,False,325000,Reliable
Suburban,Al-Medina,GMC,Automatic,Saudi,Semi Full,1994,5.7,357624,False,15000,Unreliable
Land Cruiser,Besha,Toyota,Automatic,Saudi,Full,2013,7.4,200,True,0,Unreliable
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2019,2.4,92000,True,0,Moderate
Land Cruiser,Yanbu,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.6,73335,True,0,Moderate
Taurus,Al-Ahsa,Ford,Automatic,Saudi,Standard,2014,3.5,211886,False,42000,Moderate
Suvana,Riyadh,Foton,Automatic,Gulf Arabic,Full,2017,2.7,11000,False,43000,Moderate
Prius,Qassim,Toyota,Automatic,Saudi,Standard,2017,1.8,50000,False,54900,Moderate
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Standard,2017,3.5,265,True,0,Moderate
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,153042,False,61500,Moderate
Camry,Makkah,Toyota,Manual,Saudi,Standard,2001,1.1,700000,True,0,Unreliable
Cayenne,Jeddah,Porsche,Automatic,Saudi,Full,2009,3.6,277000,False,42000,Unreliable
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Semi Full,2003,4.5,335000,False,51000,Unreliable
Tahoe,Riyadh,Chevrolet,Automatic,Other,Full,2008,2.9,265000,False,33000,Unreliable
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2021,2.7,16444,False,104500,Reliable
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53000,True,0,Moderate
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2016,2.5,112915,False,49000,Moderate
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,84000,False,120000,Moderate
H1,Dammam,Hyundai,Automatic,Saudi,Full,2018,2.4,74000,False,77000,Moderate
Land Cruiser,Dammam,Toyota,Automatic,Unknown,Full,2008,4.6,475000,True,0,Unreliable
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.0,150000,False,47000,Moderate
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2011,5.3,342000,False,55000,Unreliable
Furniture,Makkah,Toyota,Automatic,Saudi,Standard,2021,2.7,3000,False,100000,Reliable
Opirus,Yanbu,Kia,Automatic,Saudi,Semi Full,2009,6.0,216000,False,16000,Unreliable
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2020,5.3,19348,False,186500,Reliable
S,Riyadh,Mercedes,Automatic,Other,Full,2014,3.0,179000,False,169000,Moderate
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Full,2015,2.5,162000,True,0,Moderate
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,47000,False,29000,Moderate
Innova,Al-Medina,Toyota,Automatic,Saudi,Full,2018,2.7,92000,True,0,Moderate
X-Trail,Dammam,Nissan,Automatic,Saudi,Standard,2006,2.5,238000,False,13000,Unreliable
Ranger,Riyadh,Ford,Manual,Saudi,Semi Full,2016,2.5,164000,True,0,Moderate
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,90000,False,39000,Moderate
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2008,4.0,390000,False,52000,Unreliable
Land Cruiser Pickup,Riyadh,Toyota,Manual,Unknown,Full,1997,4.0,300000,True,0,Unreliable
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,70000,False,288000,Moderate
Land Cruiser Pickup,Makkah,Toyota,Manual,Saudi,Standard,2008,4.0,160,True,0,Unreliable
Q5,Jeddah,Audi,Automatic,Saudi,Full,2010,2.0,120000,True,0,Unreliable
Sonata,Abha,Hyundai,Automatic,Other,Standard,2019,2.4,32000,True,0,Reliable
Odyssey,Riyadh,Honda,Automatic,Saudi,Semi Full,2016,3.5,339000,False,40000,Moderate
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2016,5.7,48000,False,150000,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015,5.3,176332,False,120000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2015,1.6,380000,False,35000,Moderate
Accent,Najran,Hyundai,Automatic,Saudi,Standard,2012,1.4,360000,True,0,Unreliable
Eado,Dammam,Changan,Automatic,Saudi,Full,2020,1.6,9061,False,50000,Reliable
Rav4,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.5,174000,False,77000,Moderate
Patrol,Hail,Nissan,Manual,Saudi,Standard,2004,4.5,164000,True,0,Unreliable
Land Cruiser,Jazan,Toyota,Automatic,Saudi,Full,2020,4.6,21000,False,275000,Reliable
Range Rover,Tabouk,Land Rover,Automatic,Saudi,Full,2006,5.0,300000,False,25000,Unreliable
EC7,Taef,Geely,Automatic,Saudi,Full,2016,1.8,42420,False,35000,Moderate
Dokker,Riyadh,Renault,Manual,Saudi,Standard,2019,1.6,78000,False,28000,Moderate
The 6,Dammam,BMW,Automatic,Gulf Arabic,Full,2015,3.0,137500,True,0,Moderate
Camry,Dammam,Toyota,Automatic,Saudi,Semi Full,2010,2.5,240000,False,30000,Unreliable
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.4,72000,False,60000,Moderate
Taurus,Jeddah,Ford,Automatic,Other,Semi Full,2010,3.5,406593,False,19000,Unreliable
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,314000,False,46000,Moderate
The 3,Khobar,BMW,Automatic,Saudi,Full,2017,1.4,110000,False,75000,Moderate
Sierra,Dammam,GMC,Automatic,Gulf Arabic,Standard,2013,5.3,248000,False,63000,Unreliable
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,4.0,94000,False,125000,Moderate
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,5.4,81000,False,88000,Moderate
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2017,3.5,65400,False,58000,Moderate
Accord,Taef,Honda,Automatic,Saudi,Semi Full,2018,2.4,119041,False,70000,Moderate
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Standard,2012,2.7,171000,False,47500,Unreliable
Yukon,Tabouk,GMC,Automatic,Saudi,Full,2010,6.2,256,False,30000,Unreliable
Suburban,Jazan,GMC,Automatic,Saudi,Full,2008,5.3,154,True,0,Unreliable
Explorer,Qassim,Ford,Automatic,Saudi,Standard,2009,3.5,99000,True,0,Moderate
Accord,Tabouk,Honda,Automatic,Saudi,Full,2012,3.5,300,False,36000,Unreliable
Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2016,5.3,170000,False,100000,Moderate
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,359000,False,32000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,235575,False,47500,Moderate
IS,Riyadh,Lexus,Automatic,Saudi,Semi Full,2018,3.5,131000,False,166000,Moderate
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2008,4.5,545000,True,0,Unreliable
Altima,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2015,2.5,13000,False,51000,Moderate
Eado,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.6,87235,False,42500,Moderate
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,4.0,201000,False,108000,Moderate
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2016,1.5,146000,False,20000,Moderate
Optra,Riyadh,Chevrolet,Automatic,Saudi,Standard,2011,1.6,216000,False,9000,Unreliable
Hilux,Dammam,Toyota,Manual,Saudi,Full,2015,2.7,161000,True,0,Moderate
3008,Makkah,Peugeot,Automatic,Other,Full,2012,1.6,175000,False,20000,Unreliable
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.5,262000,False,55000,Moderate
Rio,Riyadh,Kia,Automatic,Gulf Arabic,Standard,2016,1.4,180000,False,28000,Moderate
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,5.7,68534,False,224500,Moderate
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2015,4.0,180000,False,135000,Moderate
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,2.0,16000,False,79000,Reliable
C,Dammam,Mercedes,Automatic,Other,Full,2016,2.0,84000,False,129000,Moderate
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2016,1.6,105000,False,23000,Moderate
Corolla,Makkah,Toyota,Automatic,Saudi,Semi Full,2020,1.1,26000,False,1086,Reliable
Optima,Al-Medina,Kia,Automatic,Other,Semi Full,2015,2.4,950000,True,0,Moderate
Tucson,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,190000,False,54000,Moderate
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2007,1.8,541000,True,0,Unreliable
CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,True,0,Reliable
Suburban,Dammam,Chevrolet,Automatic,Saudi,Full,2017,5.3,184000,False,137000,Moderate
Royal,Riyadh,Genesis,Automatic,Saudi,Full,2015,5.0,98000,False,111000,Moderate
Marquis,Riyadh,Ford,Automatic,Saudi,Semi Full,2009,4.6,300000,False,17000,Unreliable
Corolla,Al-Ahsa,Toyota,Manual,Gulf Arabic,Full,2006,1.8,320000,False,18000,Unreliable
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.5,169000,False,44000,Unreliable
Yukon,Makkah,GMC,Automatic,Other,Full,2015,5.3,130000,False,128000,Moderate
Range Rover,Qassim,Land Rover,Automatic,Saudi,Full,2020,2.0,4200,False,290000,Reliable
Silverado,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2010,5.3,228,False,29000,Unreliable
Cruze,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,120000,False,18000,Unreliable
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,3.5,209000,False,50000,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.2,201866,False,57000,Unreliable
Escalade,Khobar,Cadillac,Automatic,Other,Full,2007,6.2,273000,False,39000,Unreliable
Duster,Dammam,Renault,Automatic,Saudi,Full,2019,1.6,27000,False,54000,Reliable
Yaris,Aseer,Toyota,Automatic,Saudi,Standard,2017,1.5,250000,False,26000,Moderate
Cruze,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2012,1.8,12300,True,0,Unreliable
LS,Riyadh,Lexus,Automatic,Saudi,Full,2011,4.6,149000,True,0,Unreliable
Passat,Jeddah,Volkswagen,Automatic,Gulf Arabic,Full,2015,2.5,90000,False,55000,Moderate
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,2.0,16000,False,72000,Reliable
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.5,140000,True,0,Moderate
Avalon,Aseer,Toyota,Automatic,Saudi,Full,2013,3.5,169000,False,75000,Unreliable
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2019,2.5,62000,False,1595,Moderate
NX,Jeddah,Lexus,Automatic,Saudi,Full,2020,2.0,4100,False,170000,Reliable
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,300000,False,49500,Unreliable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,33700,True,0,Reliable
Yaris,Al-Medina,Toyota,Automatic,Saudi,Standard,2016,1.5,160,False,26500,Moderate
Dyna,Tabouk,Isuzu,Manual,Saudi,Semi Full,2008,3.0,130,True,0,Unreliable
Elantra,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,55000,False,60000,Moderate
F150,Qassim,Ford,Automatic,Saudi,Full,2013,6.5,419000,True,0,Unreliable
Fluence,Riyadh,Renault,Automatic,Saudi,Semi Full,2015,1.6,116633,False,25500,Moderate
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,263000,False,48000,Moderate
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2019,2.5,65000,True,0,Moderate
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Full,2013,4.6,254,True,0,Unreliable
Grand Cherokee,Tabouk,Jeep,Automatic,Gulf Arabic,Full,2013,6.4,136000,False,85000,Unreliable
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.5,25000,False,95000,Reliable
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2015,2.7,452000,True,0,Moderate
Panamera,Dammam,Porsche,Automatic,Saudi,Full,2011,3.0,113000,False,99000,Unreliable
VTC,Dammam,Nissan,Automatic,Saudi,Standard,2016,4.0,112000,False,106000,Moderate
C,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2018,2.0,57000,False,167000,Moderate
Platinum,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,179000,False,82000,Moderate
Yaris,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,1.5,130000,False,30000,Moderate
Accord,Al-Medina,Honda,Automatic,Saudi,Semi Full,2017,2.4,80000,True,0,Moderate
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,72418,False,27500,Moderate
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,48511,False,40000,Reliable
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,61000,False,77000,Moderate
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2015,1.3,200000,False,25000,Moderate
Range Rover,Al-Medina,Land Rover,Automatic,Saudi,Full,2017,3.0,72500,False,295000,Moderate
Expedition,Aseer,Ford,Automatic,Saudi,Semi Full,2021,1.6,2500,False,207000,Reliable
Wrangler,Jazan,Jeep,Automatic,Saudi,Standard,2019,3.6,79000,False,140000,Moderate
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.0,10000,False,63000,Reliable
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.6,197000,False,62000,Moderate
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2015,3.5,253000,True,0,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,5.3,55700,True,0,Moderate
Copper,Riyadh,MINI,Manual,Saudi,Full,2018,2.0,59000,False,85000,Moderate
Camry,Sabya,Toyota,Manual,Saudi,Full,2008,2.5,500000,True,0,Unreliable
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2006,4.5,199000,False,77000,Unreliable
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,206000,False,37000,Unreliable
Corolla,Riyadh,Toyota,Manual,Saudi,Standard,2005,1.3,801500,False,14000,Unreliable
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,140000,True,0,Moderate
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,131099,False,36500,Moderate
Wrangler,Makkah,Jeep,Automatic,Saudi,Full,2014,3.6,88000,False,89000,Moderate
Expedition,Jeddah,Ford,Automatic,Saudi,Semi Full,2013,5.4,316,True,0,Unreliable
Soul,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,142000,True,0,Moderate
Compass,Riyadh,Jeep,Automatic,Saudi,Full,2011,2.4,245000,False,24000,Unreliable
Pajero,Hafar Al-Batin,Mitsubishi,Automatic,Saudi,Full,2007,3.5,300000,True,0,Unreliable
Accord,Qassim,Honda,Automatic,Saudi,Semi Full,2016,2.4,15000,False,65000,Moderate
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,247000,False,55000,Moderate
Victoria,Najran,Ford,Automatic,Other,Standard,2003,4.6,280000,True,0,Unreliable
Tucson,Jeddah,Hyundai,Automatic,Gulf Arabic,Standard,2015,2.0,66000,False,47000,Moderate
Q5,Jeddah,Audi,Automatic,Saudi,Full,2012,2.0,339,False,31000,Unreliable
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2015,2.5,130020,False,56500,Moderate
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,272232,False,26500,Moderate
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,213557,False,63000,Moderate
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,180,True,0,Moderate
CX9,Qassim,Mazda,Automatic,Saudi,Full,2015,2.5,62000,False,76000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,100000,False,52000,Moderate
Hiace,Qassim,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,146000,False,55000,Moderate
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2020,3.8,11000,False,125000,Reliable
Civic,Jeddah,Honda,Automatic,Other,Semi Full,2006,1.6,305000,True,0,Unreliable
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,5.7,222816,False,153500,Unreliable
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,39000,False,131500,Moderate
Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2001,3.8,290000,True,0,Unreliable
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2019,1.5,80000,False,35500,Moderate
Copper,Riyadh,MINI,Automatic,Gulf Arabic,Full,2016,2.0,42000,False,95000,Moderate
Sportage,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,46000,False,65000,Reliable
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,96341,False,26000,Moderate
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.4,24000,False,120000,Reliable
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,13081,False,38000,Moderate
Taurus,Makkah,Ford,Automatic,Other,Semi Full,2013,3.5,250,True,0,Unreliable
Grand Marquis,Dammam,Mercury,Automatic,Saudi,Semi Full,2011,4.6,300000,False,27000,Unreliable
Impala,Qassim,Chevrolet,Manual,Gulf Arabic,Standard,2016,3.0,88000,False,61000,Moderate
Datsun,Besha,Nissan,Manual,Saudi,Full,2013,2.4,202702,True,0,Unreliable
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,4.0,497480,True,0,Moderate
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,82000,False,71000,Moderate
Sorento,Riyadh,Kia,Automatic,Saudi,Full,2016,3.5,93914,False,68500,Moderate
Pathfinder,Dammam,Nissan,Automatic,Saudi,Semi Full,2005,3.5,308,False,13000,Unreliable
Malibu,Jeddah,Chevrolet,Automatic,Saudi,Full,2011,3.6,299,True,0,Unreliable
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,8.0,383000,True,0,Unreliable
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2020,2.0,132000,False,53000,Unreliable
UX,Jeddah,Lexus,Automatic,Saudi,Standard,2019,2.0,45000,False,130000,Reliable
LX,Riyadh,Lexus,Automatic,Other,Full,2004,4.7,274000,False,65000,Unreliable
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,165000,True,0,Unreliable
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,3.0,61294,False,76500,Moderate
Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,201000,False,105000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2015,2.4,80000,False,45000,Moderate
CS75,Dammam,Changan,Automatic,Saudi,Full,2020,1.8,11000,False,70000,Reliable
H9,Qassim,HAVAL,Automatic,Saudi,Full,2021,2.0,508,True,0,Reliable
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2017,5.7,120000,False,225000,Moderate
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2017,2.5,173000,False,68000,Moderate
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.4,183000,False,34000,Moderate
FJ,Taef,Toyota,Automatic,Saudi,Full,2012,4.0,348,False,65000,Unreliable
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,245900,True,0,Moderate
Victoria,Jeddah,Ford,Automatic,Saudi,Full,2011,1.2,60000,False,55000,Moderate
F-Pace,Jeddah,Jaguar,Automatic,Saudi,Full,2018,2.5,70000,False,145000,Moderate
Tucson,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.0,72000,False,54000,Moderate
Coolray,Dammam,Geely,Automatic,Saudi,Semi Full,2020,1.5,280,False,62000,Reliable
E,Jeddah,Mercedes,Automatic,Gulf Arabic,Full,2016,2.1,43000,False,125000,Moderate
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2019,4.6,63000,False,252000,Moderate
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.0,220,True,0,Moderate
C,Jeddah,Mercedes,Automatic,Other,Full,2020,3.0,33000,False,235000,Reliable
Cayenne,Jubail,Porsche,Automatic,Saudi,Full,2005,2.4,300000,True,0,Unreliable
Land Cruiser Pickup,Jubail,Toyota,Manual,Saudi,Semi Full,2015,4.0,260000,False,60000,Moderate
Hilux,Tabouk,Toyota,Manual,Other,Full,2009,5.3,400,True,0,Unreliable
Innova,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2015,2.7,749000,False,46000,Moderate
Maybach,Riyadh,Mercedes,Automatic,Saudi,Full,2019,6.0,29000,True,0,Reliable
Yukon,Riyadh,GMC,Automatic,Other,Standard,2016,5.3,32000,True,0,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,171000,False,43000,Moderate
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,117000,False,33000,Moderate
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2018,1.0,68000,False,125000,Moderate
Picanto,Jeddah,Kia,Automatic,Saudi,Semi Full,2012,1.5,200000,True,0,Unreliable
Taurus,Aseer,Ford,Automatic,Saudi,Full,2015,3.5,214,True,0,Moderate
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2018,3.5,111,False,66000,Moderate
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,93000,False,35000,Moderate
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,382000,False,60000,Moderate
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2020,3.0,11500,False,510000,Reliable
Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2018,3.3,148884,False,65000,Moderate
Taurus,Dammam,Ford,Automatic,Other,Full,2015,3.5,92000,False,72000,Moderate
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Standard,2016,3.5,84000,False,42000,Moderate
Taurus,Abha,Ford,Automatic,Saudi,Standard,2015,3.5,279000,True,0,Moderate
S,Riyadh,Mercedes,Automatic,Saudi,Full,2001,3.0,299,True,0,Unreliable
LX,Riyadh,Lexus,Automatic,Saudi,Full,2019,5.7,450000,True,0,Unreliable
Marquis,Riyadh,Ford,Automatic,Saudi,Semi Full,2009,4.6,140000,False,22000,Unreliable
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,2.4,106000,False,56000,Unreliable
Cerato,Jeddah,Kia,Automatic,Unknown,Standard,2012,1.6,265000,True,0,Unreliable
Wrangler,Jeddah,Jeep,Automatic,Gulf Arabic,Semi Full,2018,4.0,32000,False,129000,Moderate
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,128000,False,35000,Moderate
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,37000,True,0,Moderate
Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Semi Full,2016,5.3,63000,False,140000,Moderate
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,47000,False,2314,Reliable
CS85,Jeddah,Changan,Automatic,Saudi,Full,2021,2.0,2500,False,98000,Reliable
Sierra,Makkah,GMC,Manual,Gulf Arabic,Standard,2002,1.4,252000,False,12500,Unreliable
CLS,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,45000,False,168000,Moderate
Wrangler,Riyadh,Jeep,Automatic,Saudi,Full,2019,3.6,16000,False,181000,Reliable
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,74000,True,0,Moderate
Jimny,Riyadh,Suzuki,Manual,Saudi,Standard,2010,1.3,93000,False,14000,Moderate
GC7,Taef,Geely,Automatic,Saudi,Full,2015,1.6,140000,False,15000,Moderate
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2016,2.4,110014,True,0,Moderate
Yukon,Arar,GMC,Automatic,Saudi,Standard,2015,5.3,170000,False,102000,Moderate
Flex,Riyadh,Ford,Automatic,Saudi,Full,2013,3.5,71927,False,64000,Moderate
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,78781,False,47500,Moderate
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2017,5.3,176000,False,115000,Moderate
Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,400000,True,0,Unreliable
Patrol,Khobar,Nissan,Automatic,Saudi,Full,2016,4.0,183000,False,150000,Moderate
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,143594,False,69000,Moderate
Copper,Dammam,MINI,Automatic,Gulf Arabic,Full,2016,2.0,110000,False,83000,Moderate
